"","GeoID","County_State","State","P_Obesity","MedianIncE","P_HS","P_FastFood","P_Doctor","Obesity_Prob"
"26",18093,"Lawrence County, Indiana","IN",37.9,53610,89.13,48.84,81.2,"Higher Severity"
"27",18123,"Perry County, Indiana","IN",36.2,52348,91.2,39.29,78,"Higher Severity"
"28",18129,"Posey County, Indiana","IN",33.5,64196,93.73,33.33,81.5,"Lower Severity"
"29",18015,"Carroll County, Indiana","IN",36.3,54806,90.32,37.04,81.2,"Higher Severity"
"30",18045,"Fountain County, Indiana","IN",35.1,52874,88.88,45.83,79.8,"Lower Severity"
"31",18149,"Starke County, Indiana","IN",38.5,51190,85.1,36.84,78.8,"Higher Severity"
"32",18055,"Greene County, Indiana","IN",36,51613,88.27,34.21,80.9,"Lower Severity"
"33",19011,"Benton County, Iowa","IA",34.3,67729,94.43,25,84.9,"Lower Severity"
"34",19061,"Dubuque County, Iowa","IA",33.1,63031,94,43.21,83.5,"Lower Severity"
"35",19093,"Ida County, Iowa","IA",35.6,58427,93.04,42.86,84.1,"Lower Severity"
"36",19135,"Monroe County, Iowa","IA",35.6,58269,93.04,25,83,"Lower Severity"
"37",19167,"Sioux County, Iowa","IA",32.7,69844,91.62,41.18,80,"Lower Severity"
"38",19033,"Cerro Gordo County, Iowa","IA",34.9,53963,93.74,43.3,84.8,"Lower Severity"
"39",19083,"Hardin County, Iowa","IA",38.3,54196,93.37,35,83.3,"Higher Severity"
"40",19117,"Lucas County, Iowa","IA",35.3,55205,92.37,40,83.8,"Lower Severity"
"41",19147,"Palo Alto County, Iowa","IA",35.5,52932,92.95,27.78,83.6,"Lower Severity"
"42",19087,"Henry County, Iowa","IA",32.9,53501,91.14,37.04,81.6,"Lower Severity"
"43",19099,"Jasper County, Iowa","IA",33.3,58952,94.19,46.51,84.4,"Lower Severity"
"44",19157,"Poweshiek County, Iowa","IA",35.7,53852,94.88,25.71,82.1,"Lower Severity"
"45",19043,"Clayton County, Iowa","IA",38.2,53152,90.72,28.95,84,"Higher Severity"
"46",19017,"Bremer County, Iowa","IA",33.1,70395,96.11,23.68,84.2,"Lower Severity"
"47",19063,"Emmet County, Iowa","IA",36.9,51563,87.26,33.33,82.2,"Higher Severity"
"48",19081,"Hancock County, Iowa","IA",35.5,61761,91.33,50,83.7,"Lower Severity"
"49",19097,"Jackson County, Iowa","IA",36,55967,93.98,32.26,83.6,"Lower Severity"
"50",19111,"Lee County, Iowa","IA",37.8,49564,94.09,35.71,84.4,"Higher Severity"
"51",19181,"Warren County, Iowa","IA",36.5,77048,96.45,41.07,84,"Higher Severity"
"52",19123,"Mahaska County, Iowa","IA",33.8,54825,93.2,51.85,84,"Lower Severity"
"53",19041,"Clay County, Iowa","IA",35.6,50521,95.49,48.72,85.2,"Lower Severity"
"54",19055,"Delaware County, Iowa","IA",37.7,63750,92.12,23.81,83.2,"Higher Severity"
"55",13005,"Bacon County, Georgia","GA",38.5,37519,84.67,71.43,69.2,"Higher Severity"
"56",13025,"Brantley County, Georgia","GA",38.6,38857,79.58,50,73.5,"Higher Severity"
"57",13017,"Ben Hill County, Georgia","GA",39.6,32229,83.74,45.45,72.6,"Higher Severity"
"58",13033,"Burke County, Georgia","GA",38.6,44151,84.67,48.15,72.1,"Higher Severity"
"59",13047,"Catoosa County, Georgia","GA",35.1,56235,89.46,59.78,73.7,"Lower Severity"
"60",13053,"Chattahoochee County, Georgia","GA",32,47096,95.95,80,57.9,"Lower Severity"
"61",13055,"Chattooga County, Georgia","GA",37.8,36807,73.19,56,72.6,"Higher Severity"
"62",13073,"Columbia County, Georgia","GA",31,82339,93.2,48.39,72,"Lower Severity"
"63",13087,"Decatur County, Georgia","GA",38.5,41481,82.31,61.54,72.1,"Higher Severity"
"64",13115,"Floyd County, Georgia","GA",32.7,48336,84.15,50.62,72,"Lower Severity"
"65",13117,"Forsyth County, Georgia","GA",27.4,107218,93.91,48.14,72.1,"Lower Severity"
"66",13137,"Habersham County, Georgia","GA",32.1,50563,80.71,50,72.8,"Lower Severity"
"67",13147,"Hart County, Georgia","GA",34.6,43204,82.86,48.39,72,"Lower Severity"
"68",13185,"Lowndes County, Georgia","GA",34.8,42441,89.64,48.57,68,"Lower Severity"
"69",13191,"McIntosh County, Georgia","GA",36.6,49504,82.54,57.14,75.4,"Higher Severity"
"70",13199,"Meriwether County, Georgia","GA",39.2,37121,82.93,50,73.7,"Higher Severity"
"71",13207,"Monroe County, Georgia","GA",31.9,54754,88.43,64.29,73.7,"Lower Severity"
"72",13237,"Putnam County, Georgia","GA",34.5,51606,87.63,33.33,72.1,"Lower Severity"
"73",13261,"Sumter County, Georgia","GA",40.3,36681,83.74,64.86,70.1,"Higher Severity"
"74",19163,"Scott County, Iowa","IA",34.5,61183,94,43.14,83,"Lower Severity"
"75",20181,"Sherman County, Kansas","KS",36.4,54754,89.67,38.89,78.5,"Higher Severity"
"76",20193,"Thomas County, Kansas","KS",33,60124,94.46,52.94,77.3,"Lower Severity"
"77",20127,"Morris County, Kansas","KS",34.5,55658,92.48,41.67,81.4,"Lower Severity"
"78",20077,"Harper County, Kansas","KS",37.8,49865,89.73,44.44,80.2,"Higher Severity"
"79",20111,"Lyon County, Kansas","KS",39,46338,87.83,45.45,76.8,"Higher Severity"
"80",20145,"Pawnee County, Kansas","KS",36.3,49917,89.71,50,77.8,"Higher Severity"
"81",20063,"Gove County, Kansas","KS",34,48317,93.79,60,81.9,"Lower Severity"
"82",20079,"Harvey County, Kansas","KS",32.1,57982,91.82,49.02,81.4,"Lower Severity"
"83",20113,"McPherson County, Kansas","KS",36.7,59089,92.66,42.31,81.5,"Higher Severity"
"84",5041,"Desha County, Arkansas","AR",42.7,31893,78.98,52.94,81.1,"Higher Severity"
"85",5049,"Fulton County, Arkansas","AR",37.1,35405,86.87,33.33,84.9,"Higher Severity"
"86",5061,"Howard County, Arkansas","AR",42.3,36059,88.42,50,81.3,"Higher Severity"
"87",5051,"Garland County, Arkansas","AR",36.1,44777,90.64,40.27,85.2,"Lower Severity"
"88",5093,"Mississippi County, Arkansas","AR",41.2,39962,82.82,53.33,82.6,"Higher Severity"
"89",5115,"Pope County, Arkansas","AR",35.2,43462,85.3,52.94,81.8,"Lower Severity"
"90",5117,"Prairie County, Arkansas","AR",36.8,42660,85.59,27.27,83.5,"Higher Severity"
"91",5139,"Union County, Arkansas","AR",37.7,44663,87.2,51.61,83.9,"Higher Severity"
"92",5147,"Woodruff County, Arkansas","AR",41.5,32845,84.41,57.14,83,"Higher Severity"
"93",5023,"Cleburne County, Arkansas","AR",35.7,44483,87.91,46.81,84.4,"Lower Severity"
"94",5067,"Jackson County, Arkansas","AR",38.6,34109,86.26,40,81.3,"Higher Severity"
"95",5057,"Hempstead County, Arkansas","AR",39.2,42860,83.89,62.96,82.8,"Higher Severity"
"96",5135,"Sharp County, Arkansas","AR",38.7,34671,84.58,29.17,84.8,"Higher Severity"
"97",5137,"Stone County, Arkansas","AR",38.4,38188,86.13,52.94,84.7,"Higher Severity"
"98",5143,"Washington County, Arkansas","AR",32.8,50451,87,41.2,79.1,"Lower Severity"
"99",5005,"Baxter County, Arkansas","AR",31.8,42260,89.63,38.96,87.5,"Lower Severity"
"100",5003,"Ashley County, Arkansas","AR",39.3,44744,85.87,68,81.7,"Higher Severity"
"101",5031,"Craighead County, Arkansas","AR",39,47286,90.18,46.7,81.5,"Higher Severity"
"102",5055,"Greene County, Arkansas","AR",34.4,47056,87.92,40.63,83.9,"Lower Severity"
"103",5111,"Poinsett County, Arkansas","AR",38.8,40921,81.79,57.69,84.2,"Higher Severity"
"104",5133,"Sevier County, Arkansas","AR",38.6,47704,73.53,46.67,77.8,"Higher Severity"
"105",5019,"Clark County, Arkansas","AR",37,41620,89.73,45.24,81.7,"Higher Severity"
"106",5075,"Lawrence County, Arkansas","AR",37.9,39993,82.27,23.81,82.9,"Higher Severity"
"107",5095,"Monroe County, Arkansas","AR",42.1,38468,80.19,58.33,82.8,"Higher Severity"
"108",5029,"Conway County, Arkansas","AR",35.4,42802,89.21,32,82.1,"Lower Severity"
"109",5001,"Arkansas County, Arkansas","AR",37,46696,85.97,37.93,82,"Higher Severity"
"110",5085,"Lonoke County, Arkansas","AR",35.9,59094,89.87,48.15,82.6,"Lower Severity"
"111",5015,"Carroll County, Arkansas","AR",33.8,46110,85.79,18.18,82.7,"Lower Severity"
"112",5123,"St. Francis County, Arkansas","AR",42.8,35348,84.24,48,81,"Higher Severity"
"113",5119,"Pulaski County, Arkansas","AR",34.9,51749,92.05,46.7,81.8,"Lower Severity"
"114",6047,"Merced County, California","CA",33.9,53672,71.44,48.16,68,"Lower Severity"
"115",6043,"Mariposa County, California","CA",27.6,48820,91.86,28.57,77.7,"Lower Severity"
"116",6013,"Contra Costa County, California","CA",24.1,99716,89.72,41.5,75,"Lower Severity"
"117",6027,"Inyo County, California","CA",27.9,57316,93.06,40.43,77.5,"Lower Severity"
"118",6099,"Stanislaus County, California","CA",30.5,60704,80.33,47.43,70.8,"Lower Severity"
"119",6083,"Santa Barbara County, California","CA",25.9,74624,82.12,39.82,70.3,"Lower Severity"
"120",6103,"Tehama County, California","CA",34.9,44514,87.08,38.55,76,"Lower Severity"
"121",6051,"Mono County, California","CA",29.2,62260,87.16,34.72,69.9,"Lower Severity"
"122",6069,"San Benito County, California","CA",30,86958,83.69,37.18,69.4,"Lower Severity"
"123",13029,"Bryan County, Georgia","GA",34.2,72624,92.37,53.13,72,"Lower Severity"
"124",13035,"Butts County, Georgia","GA",36.7,43471,83.72,51.43,71.1,"Higher Severity"
"125",13039,"Camden County, Georgia","GA",34.3,56951,92.54,47.13,69.5,"Lower Severity"
"126",13079,"Crawford County, Georgia","GA",35,46283,81,60,73.8,"Lower Severity"
"127",13099,"Early County, Georgia","GA",42.3,30640,79.78,47.06,71.2,"Higher Severity"
"128",13069,"Coffee County, Georgia","GA",37,40859,78.28,57.69,70,"Higher Severity"
"129",13077,"Coweta County, Georgia","GA",32.1,75913,90.77,48.42,71.5,"Lower Severity"
"130",13123,"Gilmer County, Georgia","GA",32.6,52625,85.97,36.21,71.9,"Lower Severity"
"131",13297,"Walton County, Georgia","GA",34.5,61599,87.06,51.82,72.7,"Lower Severity"
"132",13317,"Wilkes County, Georgia","GA",38,37838,82.62,33.33,71.7,"Higher Severity"
"133",13091,"Dodge County, Georgia","GA",37.6,39302,86.59,57.89,68.7,"Higher Severity"
"134",13129,"Gordon County, Georgia","GA",37.6,45865,77.86,57.97,71,"Higher Severity"
"135",13057,"Cherokee County, Georgia","GA",33.1,82740,92.17,43.92,72.1,"Lower Severity"
"136",13113,"Fayette County, Georgia","GA",31.5,90145,95.31,46.5,75,"Lower Severity"
"137",13177,"Lee County, Georgia","GA",33.8,69280,91.95,68,72,"Lower Severity"
"138",13227,"Pickens County, Georgia","GA",31.2,67631,90.06,47.83,75.1,"Lower Severity"
"139",13133,"Greene County, Georgia","GA",36.2,52129,88.06,36,72.8,"Higher Severity"
"140",13075,"Cook County, Georgia","GA",39.6,41854,81.95,62.5,69.2,"Higher Severity"
"141",13085,"Dawson County, Georgia","GA",30.1,66281,88,55.56,73.7,"Lower Severity"
"142",13121,"Fulton County, Georgia","GA",29.4,69673,93.6,43.5,69.9,"Lower Severity"
"143",15001,"Hawaii County, Hawaii","HI",25.1,62409,92.9,43.99,82.4,"Lower Severity"
"144",15003,"Honolulu County, Hawaii","HI",24.8,85857,92.71,46.51,82,"Lower Severity"
"145",15007,"Kauai County, Hawaii","HI",24.9,83554,92.5,39.73,82.9,"Lower Severity"
"146",16031,"Cassia County, Idaho","ID",34.8,52935,85.7,48.98,72.3,"Lower Severity"
"147",16085,"Valley County, Idaho","ID",25.3,64475,92.77,25.58,75.4,"Lower Severity"
"148",16041,"Franklin County, Idaho","ID",30.3,57215,92.1,50,74.1,"Lower Severity"
"149",16069,"Nez Perce County, Idaho","ID",32.6,58107,92.97,40.3,75.9,"Lower Severity"
"150",16055,"Kootenai County, Idaho","ID",30.9,57242,93.55,34.95,75.5,"Lower Severity"
"151",16067,"Minidoka County, Idaho","ID",33.1,53370,81.33,25,71.9,"Lower Severity"
"152",16083,"Twin Falls County, Idaho","ID",33.8,52919,87.4,44.72,73.5,"Lower Severity"
"153",16013,"Blaine County, Idaho","ID",28.5,56694,91.82,25.81,70.9,"Lower Severity"
"154",16047,"Gooding County, Idaho","ID",35.5,47204,79,35.29,69,"Lower Severity"
"155",16001,"Ada County, Idaho","ID",28.5,66293,95.3,43.48,73,"Lower Severity"
"156",16007,"Bear Lake County, Idaho","ID",30.3,54167,93.1,36.36,74.8,"Lower Severity"
"157",16011,"Bingham County, Idaho","ID",34.3,55472,88.42,52.5,71.9,"Lower Severity"
"158",16035,"Clearwater County, Idaho","ID",30.6,43915,91.75,14.29,76,"Lower Severity"
"159",16051,"Jefferson County, Idaho","ID",32.4,63048,92.56,57.89,72.2,"Lower Severity"
"160",41039,"Lane County, Oregon","OR",28.5,52426,92.84,38.42,74,"Lower Severity"
"161",51043,"Clarke County, Virginia","VA",32.4,80026,93.71,41.18,79.7,"Lower Severity"
"162",51117,"Mecklenburg County, Virginia","VA",42.4,43207,86.48,52.83,75.9,"Higher Severity"
"163",51015,"Augusta County, Virginia","VA",32.7,62711,89.87,44.44,78.4,"Lower Severity"
"164",51075,"Goochland County, Virginia","VA",32.4,93994,94.21,31.03,80.1,"Lower Severity"
"165",51113,"Madison County, Virginia","VA",33.1,57895,87.01,50,77.3,"Lower Severity"
"166",51161,"Roanoke County, Virginia","VA",28.9,68948,93.3,42.64,79.8,"Lower Severity"
"167",51025,"Brunswick County, Virginia","VA",41.2,44434,76.52,44.44,72.9,"Higher Severity"
"168",51131,"Northampton County, Virginia","VA",38.5,47227,86.88,36.67,77,"Higher Severity"
"169",51163,"Rockbridge County, Virginia","VA",32.6,54600,90.61,48,77.5,"Lower Severity"
"170",51720,"Norton city, Virginia","VA",34.8,29000,90.16,55,73.9,"Lower Severity"
"171",51570,"Colonial Heights city, Virginia","VA",34.3,54550,91.47,50.6,78.5,"Lower Severity"
"172",51021,"Bland County, Virginia","VA",34.8,48531,91.95,80,75.2,"Lower Severity"
"173",51023,"Botetourt County, Virginia","VA",31.9,71110,93.59,39.02,80.5,"Lower Severity"
"174",51520,"Bristol city, Virginia","VA",36.7,37500,86.22,54.55,77.5,"Higher Severity"
"175",51830,"Williamsburg city, Virginia","VA",28.2,57463,93.28,24.51,71.6,"Lower Severity"
"176",51035,"Carroll County, Virginia","VA",34.2,44835,83.02,35.71,77,"Lower Severity"
"177",6067,"Sacramento County, California","CA",27.8,67151,88.38,44.91,73.2,"Lower Severity"
"178",6017,"El Dorado County, California","CA",26.3,83377,94.73,34.88,78.1,"Lower Severity"
"179",6053,"Monterey County, California","CA",31.8,71015,73.36,37.28,68.2,"Lower Severity"
"180",6075,"San Francisco County, California","CA",16.4,112449,88.79,29.96,74.1,"Lower Severity"
"181",6073,"San Diego County, California","CA",23.8,78980,88.71,44.12,72.2,"Lower Severity"
"182",6107,"Tulare County, California","CA",35.2,49687,73.49,50.7,67.8,"Lower Severity"
"183",6023,"Humboldt County, California","CA",27.2,48041,91.27,31.25,74.7,"Lower Severity"
"184",6039,"Madera County, California","CA",32.3,57585,72.05,52.2,69.3,"Lower Severity"
"185",6087,"Santa Cruz County, California","CA",28.3,82234,88.71,35.79,73.1,"Lower Severity"
"186",6105,"Trinity County, California","CA",30.5,40846,95.25,27.27,77.4,"Lower Severity"
"187",6065,"Riverside County, California","CA",33.1,67005,83.12,48.35,70.8,"Lower Severity"
"188",6071,"San Bernardino County, California","CA",33,63362,81.39,51.12,69.1,"Lower Severity"
"189",6041,"Marin County, California","CA",22.8,115246,93.42,32.08,79.1,"Lower Severity"
"190",6061,"Placer County, California","CA",24.8,89691,94.95,43.22,77.9,"Lower Severity"
"191",6089,"Shasta County, California","CA",27.8,54667,91.9,40.13,77.8,"Lower Severity"
"192",6095,"Solano County, California","CA",30.7,81472,88.88,46.42,73.7,"Lower Severity"
"193",6011,"Colusa County, California","CA",32.1,59401,73.28,47.62,66.8,"Lower Severity"
"194",28029,"Copiah County, Mississippi","MS",41.5,42151,84.89,59.26,75.9,"Higher Severity"
"195",28049,"Hinds County, Mississippi","MS",41.9,44625,88.94,60,74.1,"Higher Severity"
"196",28145,"Union County, Mississippi","MS",41,45754,77.58,51.35,74.4,"Higher Severity"
"197",28139,"Tippah County, Mississippi","MS",39.2,39246,79.25,60,74.4,"Higher Severity"
"198",28035,"Forrest County, Mississippi","MS",42.7,39840,89.52,49.35,72.8,"Higher Severity"
"199",28071,"Lafayette County, Mississippi","MS",34.5,50272,91.77,40.85,71.6,"Lower Severity"
"200",28087,"Lowndes County, Mississippi","MS",40.2,50441,88.03,47.47,75.9,"Higher Severity"
"201",28065,"Jefferson Davis County, Mississippi","MS",43.9,32116,85.49,80,75.3,"Higher Severity"
"202",28123,"Scott County, Mississippi","MS",42.8,34943,77.66,60,71.7,"Higher Severity"
"203",28163,"Yazoo County, Mississippi","MS",47.5,33279,77.04,44,73.4,"Higher Severity"
"204",28011,"Bolivar County, Mississippi","MS",45.9,29854,82.23,44.44,74.7,"Higher Severity"
"205",28113,"Pike County, Mississippi","MS",47,31784,82.71,55.38,77.1,"Higher Severity"
"206",28131,"Stone County, Mississippi","MS",41.4,45483,85.61,58.33,75.7,"Higher Severity"
"207",28133,"Sunflower County, Mississippi","MS",49.8,30838,77.03,58.33,72.3,"Higher Severity"
"208",28001,"Adams County, Mississippi","MS",43.4,29936,82.52,51.92,76,"Higher Severity"
"209",28033,"DeSoto County, Mississippi","MS",38.2,67038,91.21,51.44,75.7,"Higher Severity"
"210",42045,"Delaware County, Pennsylvania","PA",31.9,74477,93.5,49.83,84.4,"Lower Severity"
"211",42111,"Somerset County, Pennsylvania","PA",38.9,49089,90.03,36.46,84.6,"Higher Severity"
"212",29123,"Madison County, Missouri","MO",36.8,43636,88.24,44.44,77.8,"Higher Severity"
"213",29217,"Vernon County, Missouri","MO",36.6,43276,88.36,40,77.4,"Higher Severity"
"214",29147,"Nodaway County, Missouri","MO",33,44232,94.19,50,74.8,"Lower Severity"
"215",29223,"Wayne County, Missouri","MO",38.9,34316,82.16,40,79.4,"Higher Severity"
"216",29201,"Scott County, Missouri","MO",38.6,44139,86.37,39.62,79,"Higher Severity"
"217",29011,"Barton County, Missouri","MO",38.2,44125,86.63,46.67,77.7,"Higher Severity"
"218",29039,"Cedar County, Missouri","MO",38.6,39365,85.81,57.89,79.6,"Higher Severity"
"219",29073,"Gasconade County, Missouri","MO",36.5,54885,88.92,30,79.1,"Higher Severity"
"220",29121,"Macon County, Missouri","MO",41,42746,91.26,43.48,78.8,"Higher Severity"
"221",29149,"Oregon County, Missouri","MO",40.1,33601,85.76,38.46,78.8,"Higher Severity"
"222",29186,"Ste. Genevieve County, Missouri","MO",37.3,60129,91.46,26.92,77.4,"Higher Severity"
"223",29067,"Douglas County, Missouri","MO",39,37425,84.76,23.08,78.8,"Higher Severity"
"224",29083,"Henry County, Missouri","MO",36,45795,89.15,40,78.4,"Lower Severity"
"225",29109,"Lawrence County, Missouri","MO",37.1,44742,85.83,46.81,76.7,"Higher Severity"
"226",29169,"Pulaski County, Missouri","MO",33.9,53492,94.5,40.3,69.7,"Lower Severity"
"227",29215,"Texas County, Missouri","MO",40.2,35067,84.9,32.26,76.8,"Higher Severity"
"228",29027,"Callaway County, Missouri","MO",37.5,56938,90.17,46.94,77.4,"Higher Severity"
"229",29053,"Cooper County, Missouri","MO",36.6,52735,90.46,54.55,75.1,"Higher Severity"
"230",29075,"Gentry County, Missouri","MO",35.2,47790,87.62,50,78.7,"Lower Severity"
"231",51191,"Washington County, Virginia","VA",36.1,48495,89.25,45,78.6,"Lower Severity"
"232",51139,"Page County, Virginia","VA",35.5,51792,82.42,52.94,76,"Lower Severity"
"233",51510,"Alexandria city, Virginia","VA",28.9,100939,93.69,36.29,73.9,"Lower Severity"
"234",51650,"Hampton city, Virginia","VA",39.6,56287,92.75,52.34,75,"Higher Severity"
"235",51013,"Arlington County, Virginia","VA",23.5,120071,95.31,43.94,71.7,"Lower Severity"
"236",51027,"Buchanan County, Virginia","VA",38.5,31956,74.24,68.75,74.8,"Higher Severity"
"237",51179,"Stafford County, Virginia","VA",33,111108,92.9,52.63,75.8,"Lower Severity"
"238",51760,"Richmond city, Virginia","VA",33.3,47250,88.76,34.67,72.8,"Lower Severity"
"239",51057,"Essex County, Virginia","VA",40.3,51954,82.61,34.78,75.8,"Higher Severity"
"240",51185,"Tazewell County, Virginia","VA",36,42099,86.35,52.46,77.8,"Lower Severity"
"241",51685,"Manassas Park city, Virginia","VA",34.2,88046,80.12,55.56,68.7,"Lower Severity"
"242",51183,"Sussex County, Virginia","VA",41.4,49487,81.34,46.67,73.6,"Higher Severity"
"243",51683,"Manassas city, Virginia","VA",33.2,81493,85.83,53.1,70.8,"Lower Severity"
"244",51775,"Salem city, Virginia","VA",31.9,57165,93.92,45.21,77.9,"Lower Severity"
"245",51037,"Charlotte County, Virginia","VA",39.8,40573,84.49,42.86,76.2,"Higher Severity"
"246",53067,"Thurston County, Washington","WA",33.4,72003,94.3,37.13,76.3,"Lower Severity"
"247",29133,"Mississippi County, Missouri","MO",41.8,35357,79.32,50,74.7,"Higher Severity"
"248",47165,"Sumner County, Tennessee","TN",34,67204,91.35,45.49,76.4,"Lower Severity"
"249",47169,"Trousdale County, Tennessee","TN",36,56321,85.95,44.44,76.6,"Lower Severity"
"250",47027,"Clay County, Tennessee","TN",38.4,32167,84.97,40,76.6,"Higher Severity"
"251",17139,"Moultrie County, Illinois","IL",34.4,61456,86.39,25,80.5,"Lower Severity"
"252",17149,"Pike County, Illinois","IL",36.4,47492,91.04,30,81.1,"Higher Severity"
"253",17163,"St. Clair County, Illinois","IL",38,55179,92.23,52.91,81.4,"Higher Severity"
"254",17173,"Shelby County, Illinois","IL",35.9,52953,93.88,41.67,81,"Lower Severity"
"255",17019,"Champaign County, Illinois","IL",33,52797,94.67,44.29,76.1,"Lower Severity"
"256",17053,"Ford County, Illinois","IL",35.7,52092,91.73,33.33,83.1,"Lower Severity"
"257",17089,"Kane County, Illinois","IL",36.9,79394,86.5,42.79,77.4,"Higher Severity"
"258",17093,"Kendall County, Illinois","IL",33.8,96563,93.39,48.21,78,"Lower Severity"
"259",17009,"Brown County, Illinois","IL",37.5,61655,80.3,66.67,73.5,"Higher Severity"
"260",17121,"Marion County, Illinois","IL",37.2,47519,89.97,45.61,83.5,"Higher Severity"
"261",17125,"Mason County, Illinois","IL",36,48417,91.33,44.44,81.7,"Lower Severity"
"262",17075,"Iroquois County, Illinois","IL",36.6,52700,88.73,38.89,81,"Higher Severity"
"263",17025,"Clay County, Illinois","IL",36,48500,88.12,47.62,80.7,"Lower Severity"
"264",17133,"Monroe County, Illinois","IL",31.9,85747,95.68,32.79,83.3,"Lower Severity"
"265",17181,"Union County, Illinois","IL",36.7,50625,87.99,45.83,80.3,"Higher Severity"
"266",17201,"Winnebago County, Illinois","IL",37.9,54489,88.54,48.02,80.6,"Higher Severity"
"267",17169,"Schuyler County, Illinois","IL",36.6,52357,91.67,37.5,81,"Higher Severity"
"268",17045,"Edgar County, Illinois","IL",36.5,53647,87.94,46.43,81.1,"Higher Severity"
"269",17007,"Boone County, Illinois","IL",34.3,69272,86.62,55.56,79.9,"Lower Severity"
"270",17011,"Bureau County, Illinois","IL",35,57436,90.3,25.58,83.3,"Lower Severity"
"271",17029,"Coles County, Illinois","IL",34.5,46202,91.95,52.87,78.9,"Lower Severity"
"272",17033,"Crawford County, Illinois","IL",36.6,49779,88.65,50,79.3,"Higher Severity"
"273",17039,"De Witt County, Illinois","IL",36,55587,94.17,38.71,80.2,"Lower Severity"
"274",17103,"Lee County, Illinois","IL",35.9,58194,90.03,40,82,"Lower Severity"
"275",17117,"Macoupin County, Illinois","IL",36.8,55159,90.97,29.69,82.9,"Higher Severity"
"276",17159,"Richland County, Illinois","IL",36.4,48894,92.07,52,80.8,"Higher Severity"
"277",17189,"Washington County, Illinois","IL",33.9,61763,92.53,57.14,81.2,"Lower Severity"
"278",41067,"Washington County, Oregon","OR",27.1,82215,92.87,38.98,72,"Lower Severity"
"279",41007,"Clatsop County, Oregon","OR",30,54886,92.24,17.58,75.7,"Lower Severity"
"280",42017,"Bucks County, Pennsylvania","PA",31.7,89139,94.68,42.49,85,"Lower Severity"
"281",42077,"Lehigh County, Pennsylvania","PA",37.2,63897,90.25,43.97,82.4,"Higher Severity"
"282",42031,"Clarion County, Pennsylvania","PA",34.9,46680,90.88,40.91,81.4,"Lower Severity"
"283",42059,"Greene County, Pennsylvania","PA",37.2,54776,89.42,66.67,82.2,"Higher Severity"
"284",42079,"Luzerne County, Pennsylvania","PA",32.9,53473,90.48,36.66,84.9,"Lower Severity"
"285",42037,"Columbia County, Pennsylvania","PA",33.9,50550,91.64,41.27,84.1,"Lower Severity"
"286",42065,"Jefferson County, Pennsylvania","PA",37.5,47603,91.2,43.84,83.1,"Higher Severity"
"287",42099,"Perry County, Pennsylvania","PA",34.5,63718,89.15,42.55,84.9,"Lower Severity"
